time,temp
0.0,320.96
0.034,319.68
0.068,320.32
0.101,312.58
0.135,313.22
0.169,312.58
0.202,312.58
0.236,311.94
0.27,312.58
0.303,311.94
0.337,311.3
0.37,310.0
0.404,310.0
0.438,308.7
0.471,308.06
0.505,308.06
0.538,306.78
0.572,306.78
0.606,306.78
0.639,306.78
0.673,305.48
0.707,304.2
0.74,302.9
0.774,303.54
0.807,302.26
0.841,302.26
0.875,301.62
0.908,300.96
0.942,300.32
0.976,299.68
1.009,299.68
1.043,299.04
1.076,298.38
1.11,297.74
1.144,297.1
1.177,297.1
1.211,296.46
1.244,295.8
1.278,295.16
1.312,294.52
1.345,294.52
1.379,293.22
1.412,292.58
1.446,293.22
1.48,291.3
1.513,291.94
1.547,291.3
1.581,291.3
1.614,290.64
1.648,290.64
1.681,290.0
1.715,288.7
1.749,288.06
1.782,288.06
1.816,287.42
1.849,286.78
1.883,286.12
1.917,285.48
1.95,285.48
1.984,284.84
2.018,284.84
2.051,283.54
2.085,282.9
2.118,282.9
2.152,282.9
2.186,282.26
2.219,281.62
2.253,280.96
2.286,280.96
2.32,280.96
2.354,280.32
2.387,279.68
2.421,279.04
2.455,279.04
2.488,278.38
2.522,277.74
2.555,277.74
2.589,277.1
2.623,276.46
2.656,273.22
2.69,275.8
2.724,274.52
2.757,275.16
2.791,273.88
2.824,273.88
2.858,273.22
2.892,272.58
2.925,271.94
2.959,271.3
2.992,271.3
3.026,271.3
3.06,270.0
3.093,270.0
3.127,270.0
3.161,269.36
3.194,268.7
3.228,268.06
3.262,266.78
3.295,266.78
3.329,266.12
3.362,266.12
3.396,265.48
3.43,265.48
3.463,264.2
3.497,264.2
3.531,264.2
3.564,262.9
3.598,263.54
3.631,262.9
3.665,262.9
3.699,261.62
3.732,262.26
3.766,260.32
3.799,261.62
3.833,259.68
3.867,259.68
3.901,259.04
3.934,259.04
3.968,259.04
4.002,258.38
4.035,257.74
4.069,256.46
4.103,255.8
4.137,255.16
4.17,255.16
4.205,254.52
4.238,253.88
4.272,253.88
4.306,253.22
4.34,252.58
4.374,251.94
4.407,251.94
4.441,250.64
4.475,253.22
4.509,250.64
4.543,250.0
4.577,249.36
4.611,248.7
4.645,248.7
4.68,248.06
4.714,248.06
4.748,247.42
4.782,247.42
4.816,247.42
4.849,246.12
4.883,246.12
4.917,244.84
4.951,246.12
4.985,244.84
5.019,244.2
5.053,244.84
5.087,244.2
5.121,243.54
5.155,243.54
5.189,242.9
5.223,242.9
5.257,242.26
5.291,241.62
5.325,240.96
5.358,240.96
5.392,240.32
5.426,239.68
5.46,239.04
5.494,237.1
5.528,237.1
5.561,236.46
5.595,236.46
5.629,236.46
5.663,235.8
5.697,235.8
5.73,235.8
5.764,235.16
5.798,235.16
5.832,234.52
5.865,234.52
5.899,234.52
5.933,233.88
5.967,233.22
6.001,233.22
6.035,233.22
6.068,232.58
6.102,231.94
6.136,232.58
6.17,231.94
6.204,231.3
6.238,230.64
6.271,231.3
6.305,230.64
6.339,230.64
6.373,230.0
6.406,229.36
6.44,228.7
6.474,228.7
6.508,228.06
6.542,227.42
6.575,226.78
6.609,226.78
6.643,226.78
6.677,226.12
6.711,226.12
6.745,226.12
6.778,224.84
6.812,224.84
6.846,224.84
6.88,223.54
6.914,223.54
6.948,223.54
6.981,222.9
7.015,222.9
7.049,223.54
7.083,222.26
7.117,222.9
7.151,222.26
7.184,221.62
7.218,220.96
7.252,220.96
7.286,220.96
