time,furnace temp,current set point temp,thermocouple temp
5.01,398,400,23.0
6.01,397,400,26.8
7.01,396,400,30.0
8.01,394,400,32.6
9.01,392,400,35.8
10.01,391,400,40.4
11.01,389,400,44.8
12.02,388,400,50.0
13.02,387,400,54.6
14.02,386,400,58.4
15.02,385,400,64.2
16.02,385,400,69.4
17.02,384,400,73.8
18.02,384,400,77.8
19.03,384,400,81.0
20.03,383,400,86.8
21.03,383,400,91.2
22.03,383,400,97.0
23.03,383,400,101.6
24.03,383,400,106.2
25.03,384,400,112.6
26.03,385,400,117.8
27.03,385,400,123.0
28.04,386,400,128.8
29.04,387,400,132.6
30.04,388,400,138.4
31.04,388,400,143.6
32.04,389,400,148.8
33.04,390,400,153.8
34.04,391,400,157.8
35.04,391,400,163.6
36.04,392,400,167.4
37.05,393,400,172.0
38.05,393,400,177.0
39.05,394,400,180.4
40.05,394,400,186.2
41.05,394,400,190.6
42.05,394,400,195.2
43.05,395,400,199.0
44.05,395,400,202.2
45.05,395,400,206.8
46.06,395,400,212.0
47.06,395,400,216.4
48.06,395,400,219.6
49.06,396,400,222.2
50.06,396,400,228.8
51.06,396,400,231.2
52.06,396,400,234.6
53.06,395,400,237.8
54.07,395,400,240.4
55.07,395,400,244.2
56.07,395,400,248.0
57.07,395,400,251.2
58.07,395,400,254.6
59.07,395,400,256.4
60.07,395,400,261.0
61.07,394,400,263.6
62.07,394,400,266.8
63.07,394,400,270.0
64.08,394,400,272.0
65.08,394,400,275.8
66.08,393,400,278.4
67.08,393,400,280.4
68.08,393,400,283.0
69.08,393,400,284.2
70.08,393,400,286.2
71.08,393,400,289.4
72.08,392,400,291.2
73.09,392,400,293.2
74.09,392,400,295.8
75.09,392,400,299.0
76.09,391,400,301.0
77.09,391,400,303.6
78.09,391,400,305.4
79.09,391,400,306.2
80.09,391,400,309.4
81.1,391,400,311.2
82.1,391,400,313.8
83.1,392,400,315.2
84.1,392,400,315.8
85.1,392,400,319.0
86.1,392,400,321.6
87.1,392,400,323.0
88.1,392,400,324.8
89.11,392,400,325.4
90.11,392,400,328.8
91.11,392,400,330.0
92.11,392,400,332.0
93.11,392,400,333.8
94.11,393,400,335.2
95.11,393,400,337.8
96.11,393,400,339.0
97.11,393,400,341.0
98.12,393,400,342.2
99.12,393,400,343.6
100.12,394,400,346.2
101.12,394,400,348.8
102.12,394,400,349.4
103.12,394,400,350.6
104.12,394,400,351.2
105.12,394,400,353.2
106.12,394,400,354.6
107.13,394,400,355.8
108.13,394,400,357.8
109.13,394,400,357.8
110.13,394,400,359.6
111.13,394,400,361.0
112.13,394,400,362.2
113.13,394,400,363.6
114.13,394,400,363.0
115.13,394,400,365.4
116.13,394,400,367.4
117.13,394,400,368.0
118.14,394,400,368.8
119.14,394,400,370.6
120.14,394,400,370.6
121.14,394,400,371.2
122.14,394,400,372.6
123.14,394,400,373.2
124.14,394,400,373.2
125.14,394,400,375.2
126.14,394,400,375.8
127.14,394,400,376.4
128.15,394,400,376.4
129.15,394,400,378.4
130.15,394,400,379.6
131.15,394,400,380.4
132.15,394,400,381.0
133.15,394,400,381.6
134.15,394,400,382.2
135.15,394,400,383.0
136.16,394,400,383.6
137.16,394,400,384.8
138.16,394,400,385.4
139.16,394,400,386.2
140.16,394,400,386.2
141.16,394,400,389.4
142.16,394,400,387.4
143.16,394,400,388.0
144.16,394,400,388.8
145.16,394,400,389.4
146.17,394,400,390.0
147.17,395,400,390.6
148.17,395,400,390.6
149.17,395,400,392.0
150.17,395,400,392.0
151.17,395,400,392.0
152.17,395,400,392.6
153.17,395,400,393.8
154.17,395,400,400.4
155.17,395,400,392.0
156.17,395,400,394.6
157.18,395,400,394.6
158.18,395,400,395.8
159.18,395,400,397.0
160.18,395,400,398.4
161.18,395,400,397.0
162.18,395,400,397.8
163.18,395,400,398.4
164.18,395,400,398.4
165.18,395,400,398.4
166.19,395,400,398.4
167.19,395,400,399.6
168.19,395,400,399.6
169.19,395,400,399.6
170.19,396,400,399.6
171.19,396,400,400.4
172.19,396,400,395.8
173.19,396,400,400.4
174.19,396,400,400.4
175.19,396,400,403.0
176.19,396,400,400.4
177.2,396,400,399.6
178.2,396,400,400.4
179.2,396,400,400.4
180.2,396,400,399.6
181.2,396,400,400.4
182.2,396,400,400.4
183.2,396,400,400.4
184.2,396,400,400.4
185.2,396,400,400.4
186.2,396,400,400.4
187.21,396,400,400.4
188.21,396,400,400.4
189.21,396,400,400.4
190.21,396,400,396.4
191.21,396,400,400.4
192.21,396,400,400.4
193.21,396,400,400.4
194.21,396,400,400.4
195.21,396,400,401.0
196.22,396,400,400.4
197.22,396,400,400.4
198.22,397,400,401.0
199.22,397,400,401.0
200.22,397,400,400.4
201.22,397,400,400.4
202.22,397,400,399.6
203.22,397,400,399.6
204.22,397,400,400.4
205.22,397,400,400.4
206.23,397,400,400.4
207.23,397,400,400.4
208.23,397,400,400.4
209.23,397,400,400.4
210.23,397,400,400.4
211.23,397,400,400.4
212.23,397,400,399.6
213.23,397,400,400.4
214.23,397,400,400.4
215.24,397,400,400.4
216.23,397,400,400.4
217.24,397,400,400.4
218.24,397,400,401.0
219.24,397,400,400.4
220.24,397,400,399.6
221.24,397,400,394.6
222.24,397,400,400.4
223.24,397,400,399.6
224.24,398,400,400.4
225.24,398,400,401.6
226.24,398,400,400.4
227.24,398,400,400.4
228.25,398,400,400.4
229.25,398,400,401.0
230.25,398,400,399.6
231.25,398,400,401.6
232.25,398,400,399.6
233.25,398,400,400.4
234.25,398,400,400.4
235.25,398,400,400.4
236.25,398,400,400.4
237.25,398,400,399.6
238.25,398,400,400.4
239.26,398,400,399.6
240.26,398,400,400.4
241.26,398,400,399.0
242.26,398,400,400.4
243.26,398,400,400.4
244.26,398,400,400.4
245.26,398,400,400.4
246.26,398,400,401.6
247.26,398,400,399.6
248.26,398,400,400.4
249.26,398,400,400.4
250.26,398,400,400.4
251.27,398,400,401.0
252.27,398,400,400.4
253.27,398,400,400.4
254.27,398,400,400.4
255.27,398,400,400.4
256.27,398,400,400.4
257.27,398,400,401.6
258.27,398,400,400.4
259.27,398,400,401.6
260.27,398,400,400.4
261.27,398,400,400.4
262.28,398,400,400.4
263.28,398,400,400.4
264.28,398,400,400.4
265.28,398,400,400.4
266.28,398,400,400.4
267.28,399,400,400.4
268.28,399,400,401.0
269.28,399,400,401.0
270.28,399,400,401.6
271.28,399,400,400.4
272.28,399,400,400.4
273.28,399,400,399.6
274.28,399,400,400.4
275.29,399,400,400.4
276.29,399,400,399.6
277.29,399,400,400.4
278.29,399,400,401.0
279.29,399,400,399.6
280.29,399,400,399.6
281.29,399,400,399.6
282.29,399,400,400.4
283.29,399,400,400.4
284.29,399,400,399.6
285.29,399,400,399.6
286.29,399,400,401.0
287.3,399,400,399.0
288.3,399,400,398.4
289.3,399,400,399.6
290.3,399,400,400.4
291.3,399,400,400.4
292.3,399,400,400.4
293.3,399,400,400.4
294.3,399,400,400.4
295.3,399,400,400.4
296.3,399,400,400.4
297.3,399,400,400.4
298.3,399,400,400.4
299.3,399,400,400.4
300.3,399,400,400.4
301.3,399,400,400.4
302.31,399,400,400.4
303.31,399,400,400.4
304.31,399,400,399.6
305.31,399,400,400.4
306.31,399,400,400.4
307.31,399,400,397.0
308.31,399,400,400.4
309.31,399,400,399.6
310.31,399,400,400.4
311.31,399,400,400.4
312.31,399,400,399.6
313.31,399,400,399.6
314.31,399,400,400.4
315.31,399,400,400.4
316.31,399,400,400.4
317.32,399,400,401.0
318.32,399,400,400.4
319.32,399,400,400.4
320.32,399,400,400.4
321.32,399,400,398.4
322.32,399,400,400.4
323.32,399,400,400.4
324.32,399,400,399.6
325.32,399,400,399.6
326.32,399,400,400.4
327.32,399,400,401.0
328.32,399,400,400.4
329.32,399,400,400.4
330.33,399,400,400.4
331.33,399,400,400.4
332.33,399,400,399.6
333.33,399,400,399.6
334.33,399,400,400.4
335.33,399,400,401.6
336.33,399,400,403.0
337.33,399,400,400.4
338.33,399,400,400.4
339.33,399,400,400.4
340.33,399,400,400.4
341.33,399,400,399.6
342.33,399,400,400.4
343.33,399,400,400.4
344.34,399,400,399.6
345.34,399,400,400.4
346.34,399,400,401.0
347.34,399,400,400.4
348.34,399,400,399.6
349.34,399,400,401.0
350.34,399,400,400.4
351.34,399,400,400.4
352.34,399,400,400.4
353.34,399,400,401.6
354.34,399,400,400.4
355.34,399,400,399.6
356.34,399,400,400.4
